,store,sido-gu,address,phone
211,늘봄농원점,경기 고양시 덕양구,경기도 고양시 덕양구 호국로 1526,070-4160-4216
212,평택서재점,경기 평택시,"경기도 평택시 서재로 26-24, 1,2층 ", 031-651-2750 
213,광교테크노밸리점,경기 수원시 영통구,"경기도 수원시 영통구 에듀타운로 108, 해피리움빌딩",031-217-8022
214,부산송도점,부산 서구,부산 서구 송도해변로 61-1,051-255-6100
215,화성휴게소(하)2호점,경기 화성시,경기도 화성시 팔탄면 서해안고속도로 301,
216,화성휴게소(하)점,경기 화성시,경기도 화성시 팔탄면 서해안고속도로 301,
217,영광백수해안도로점,전남 영광군,전라남도 영광군 백수읍 해안로 918,061-353-5866
218,진주혁신도시점,경남 진주시,경상남도 진주시 충무공동 289-1, 055-761-0288
219,부산동래역점,부산 동래구,부산 동래구 삼성대길 34-25(명륜동 502-4 ),051-552-2990
220,가재울점,서울 서대문구,"서울 서대문구 모래내로 15길 56, 1층(남가좌동)",02-374-7686
221,신항휴게소점,경남 창원시 진해구,경상남도 창원시 진해구 신항북로 320,
222,분당미금점,경기 성남시 분당구,"경기도 성남시 분당구 돌마로 48, 1층",031-627-4727
223,원주혁신도시S타워점,강원 원주시,"강원도 원주시 배울로 86, S타워 1층",033-733-1220
224,수서점,서울 강남구,"서울시 강남구 밤고개로1길 10, B 125, B 126호(수서동, 수서현대벤처빌)",02-451-0723
225,수원오목천점,경기 수원시 권선구,"경기도 수원시 권선구 서수원로 179, 1~2층(오목천동)",031-291-7933
226,전북대덕진광장점,전북 전주시 덕진구,전라북도 전주시 덕진구 덕진광장로 12,063-272-2400
227,외동휴게소(하),경북 경주시,경상북도 경주시 상석길 58-74,
228,외동휴게소(상),경북 경주시,경상북도 경주시 외동읍 상석길 58-70,
229,양산휴게소점,경남 양산시,경상남도 양산시 동면 목장길 15-50,
230,대전신성점,대전 유성구,대전광역시 유성구 유성대로1184번길 18,042-862-3335
231,연신내점,서울 은평구,"서울시 은평구 연서로 212 1,2,3층",02-388-3977
232,건대일감호수점,서울 광진구,서울시 광진구 아차산로39길 38-6  B1F~4F ,02-456-6627
233,잠실광고회관점,서울 송파구,"서울시 송파구 올림픽로35길 137, 잠실광고문화회관 1층",02-2144-0888
234,여수웅천점,전남 여수시,전라남도 여수시 예울마루로 35-24,061-681-2522
235,대구동천점,대구 북구,대구광역시 북구 동천로 125,053-321-0099
236,전북대병원점,전북 전주시 덕진구,전북 전주시 덕진구 건지로 20,
237,(하)지리산휴게소점,전북 남원시,전북 남원시 아영면 아곡리 산 77-1,063-636-7195
238,(상)지리산휴게소점,전북 남원시,전북 남원시 아영면 아곡리 446-2,063-636-7191
239,양산신도시점,경남 양산시,경남 양산시 물금읍 가촌리 1210-9,055-366-0268
240,창원귀산점,경남 창원시 성산구,경상남도 창원시 성산구 삼귀로 189,
241,군산미장점,전북 군산시,전라북도 군산시 미장안길 54,063-442-8777
242,(상)옥천휴게점,충북 옥천군,충청북도 옥천군 옥천동이로 242-34,
243,대전타임월드점,대전 서구,대전광역시 서구 둔산로 32-13,042-489-1315
244,보라매역점,서울 영등포구,"서울시 영등포구 여의대방로 145, 1층",02-844-6004
245,세종어진점,세종 ,"세종특별자치시 절재로 194세종중앙타운 133호,214호",070-7766-1589
246,고속버스터미널영동선점,서울 서초구,서울시 서초구 신반포로 194 서울고속터미널 부속상가동 2층 A-2호,02-591-1555
247,부산다대포전망대점,부산 사하구,부산광역시 사하구 다대낙조2길 85,051-265-9191
248,부산대연점,부산 남구,부산광역시 남구 대연동 1750-11,051-621-0303
249,전주하가점,전북 전주시 덕진구,전라북도 전주시 덕진구 가련산로 25,063-275-1230
250,광주수완2호점,광주 광산구,광주광역시 광산구 수완동 1109,062-959-3327
251,화곡역점,서울 강서구,서울특별시 강서구 강서로 163,02-2606-6641
252,발산역점,서울 강서구,서울특별시 강서구 공항대로 284,02-2063-3534
253,신정네거리역점,서울 양천구,서울특별시 양천구 중앙로 252,02-2645-9957
254,세종시청점,세종 ,세종특별 자치시 시청대로 167 세종드림빌딩 106호,044-864-0211
255,대구범어점,대구 수성구,대구 수성구 범어동 722-1,053-761-2187
256,인계써드아이점,경기 수원시 팔달구,"경기도 수원시 팔달구 인계로 130, 1층",031-232-0727
257,고양행신점,경기 고양시 덕양구,경기도 고양시 덕양구 충경로 37,031-938-4055
258,동해묵호점,강원 동해시,강원도 동해시 해안로 368,033-534-8902
259,배명사거리점,서울 송파구,서울시 송파구 백제고분로 275,02-422-4915
260,대전도안마을점,대전 유성구,대전광역시 유성구 도안대로 560,042-826-6080
261,분당서현시범단지점,경기 성남시 분당구,경기도 성남시 분당구 새마을로1번길 2,031-701-7863
262,수원태장점,경기 수원시 영통구,경기도 수원시 영통로 112-4	,031-202-3780
263,(상)황간휴게소점,충북 영동군,충청북도 영동군 황간면 회포길 102 황간휴게소,
264,(하)황간휴게소점,충북 영동군,충청북도 영동군 황간면 회포길 102 황간휴게소,
265,아산우체국점,충남 아산시,"충남 아산시 시민로455, 아산우체국1층",041-548-5024
266,천안두정역점,충남 천안시 서북구,충청남도 천안시 서북구 두정로 238,041-566-5148
267,일산웨스턴돔점,경기 고양시 일산동구,"경기도 고양시 일산동구 정발산로 38, 양우 이스턴시티",031-905-7749
268,가산디지털단지점,서울 금천구,서울시 금천구 가산동 459-11,02-2028-7111
269,김포장기점,경기 김포시,"경기도 김포시 김포한강로1로 77-30, 가온빌딩 1,2층",031-981-6770
270,거창휴게소(하),경남 거창군,경남 거창군 가조면 가조가야로 1485-48,
271,거창휴게소(상),경남 거창군,경남 거창군 가조면 도리 산189-1,
272,광주조선대점,광주 동구,광주광역시 동구 필문대로273번길 12,062-416-3647
273,안암오거리점,서울 성북구,서울시 성북구 인촌로24길 56,02-922-2877
274,단양휴게소(하)점,충북 단양군,충청북도 단양군 적성면 기동리 산74-1,043-423-5401
275,옥산휴게소(하)점,충북 청주시 흥덕구,충청북도 청주시 흥덕구 경부고속도로 309,
276,광명하안점,경기 광명시,경기도 광명시 하안로 293-6,02-899-2088
277,대전반석역점,대전 유성구,대전광역시 유성구 반석동로 40번길 40,042-714-5808
278,평촌스마트스퀘어점,경기 안양시 동안구,"경기도 안양시 동안구 시민대로 311 금강스마트빌딩 110, 111호",031-421-8097
279,전북고창점,전북 고창군,전북 고창군 고창읍 중앙로 195,063-564-3357
280,교대역점,서울 서초구,서울시 서초구 반포대로30길 81,02-521-8944
281,커피클럽 서울대예술문화점,서울 관악구,"서울시 관악구 관악로 1, 서울대예술계복합연구동 1층",02-877-7186
282,길동역점,서울 강동구,서울특별시 강동구 양재대로 1484,02-470-1988
283,세종호수공원점,세종 ,"세종특별자치시 다솜3로 66, 행정지원센터 홍보동 2층 카페테리아",044-866-1753
284,낙성대역점,서울 관악구,서울특별시 관악구 남부순환로 1922,070-4716-0775
285,한남순천향점,서울 용산구,서울특별시 용산구 대사관로 62,02-749-6977
286,노원문화의거리점,서울 노원구,서울시 노원구 노해로81길 22-26 ,02-935-8231
287,전주한옥마을점,전북 전주시 완산구,전라북도 전주시 완산구 은행로 16,063-288-0801
288,청주성모병원점,충북 청주시 청원구,"충청북도 청주시 청원구 주성로 173-19, 성모병원 본과",070-7761-0015
289,(하)서천휴게소점,충남 서천군,충남 서천군 비인면 서해안고속도로 169,041-952-5757
290,(상)서천휴게소점,충남 서천군,충청남도 서천군 비인면 서해안고속도로 168, 041-952-9700 
291,송탄점,경기 평택시,경기도 평택시 관광특구로 31,031-667-1229
292,부산해운대점,부산 해운대구,부산광역시 해운대구 해운대해변로 277,051-746-1463
293,대구장기점,대구 동구,대구광역시 달서구 장기로 268,053-522-0666
294,한양대시티빌점,서울 성동구,서울특별시 성동구 마조로1가길 9,02-2299-9934
295,도곡점,서울 강남구,서울특별시 강남구 논현로28길 54,02-6204-3311
296,고대구로병원점,서울 구로구,서울시 구로구 구로동로 148 고려대학교 구로병원 신관 1층,02-830-0998
297,대구두류공원점,대구 달서구,대구광역시 달서구 공원순환로 216,053-626-1033
298,대명거리점,서울 종로구,"서울시 종로구 대명길 4, 2,3,4층",02-747-0348
299,화서휴게소(상)점,경북 상주시,경상북도 상주시 화서면 터골길 51-25,
300,대구봉무공원점,대구 동구,"대구광역시 동구 단산길 4, 1~2층",053-984-3001
301,분당수내엔타워점,경기 성남시 중원구,경기도 성남시 분당구 수내동 16-6 엔타워빌딩 1층,031-712-0341
302,창원상남점,경남 창원시 성산구,경상남도 창원시 성산구 마디미로31번길 3,055-261-5955
303,울산정자해변점,울산 북구,울산광역시 북구 동해안로 1580 1~2층,052-294-2888
304,세종종촌점,세종 ,"세종특별자치시 종촌동 1-3 생활권 호만빌딩 C3-3 1층, 2층",044-864-2177
305,대전한남대점,대전 대덕구,"대전광역시 대덕구 한남로 65 1,2층",070-4415-4254
