store,address,phone,address2,_GC_TYPE,_CLEANADDR,_X,_Y
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,정,서울특별시 강남구 테헤란로70길 12 (대치동),127.0531592,37.50474223
역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,02-554-9962,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,정,서울특별시 강남구 테헤란로20길 10 (역삼동),127.0341414,37.49908664
방배카페골목점,서울특별시 서초구 방배중앙로 187,02-592-7794,서울특별시 서초구 방배중앙로 187,정,서울특별시 서초구 방배중앙로 187 (방배동),126.9855312,37.49570856
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,정,서울특별시 강남구 봉은사로 628 (삼성동),127.0641666,37.51467306
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,정,서울특별시 서초구 서초대로74길 4 (서초동),127.0257034,37.49674469
방이점,서울시 송파구 오금로 11길 7,02-415-5561,서울특별시 송파구 오금로 11길 7,정,서울특별시 송파구 오금로11길 7 (방이동),127.1079678,37.51455615
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330,서울특별시 강남구 테헤란로87길 36 공항타워 1층,정,서울특별시 강남구 테헤란로87길 36 (삼성동),127.0585972,37.51023392
남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층,02-523-3671,서울특별시 서초구 서초중앙로 43 로얄타워1층,정,서울특별시 서초구 서초중앙로 43 (서초동),127.0155772,37.48553846
매봉역점,서울시 강남구 논현로 38길 42 418호,02-529-9947,서울특별시 강남구 논현로 38길 42 418호,정,서울특별시 강남구 논현로38길 42 (도곡동),127.0450535,37.48557452
강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층,02-563-3655,서울특별시 강남구 테헤란로4길 28 826-28호 1층,정,서울특별시 강남구 테헤란로4길 28 (역삼동),127.0300942,37.49652247
순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,02-2220-8198,서울특별시 중구 순화202 1-94 프레이저플레이스레지던스1층,유,서울특별시 중구 순화동 204-2,126.9721929,37.5595027
경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외,02-730-8896,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,정,서울특별시 종로구 새문안로3길 23 (내수동),126.9722439,37.57254785
광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층,02-3210-2326,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,정,서울특별시 종로구 서린동 136,126.9788607,37.56978501
홍대역점,서울시 마포구 홍익로 6길 26,02-333-4278,서울특별시 마포구 홍익로 6길 26,정,서울특별시 마포구 홍익로6길 26 (동교동),126.9232643,37.55546898
청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622,"서울특별시 강남구 도산대로 67길 7,파크빌딩 1층",정,서울특별시 강남구 도산대로67길 7 (청담동),127.0443873,37.5244881
종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층",02-738-5333,"서울특별시 종로구 청계천로 83 11-4호 지하1,지상1~3층",정,서울특별시 종로구 청계천로 83 (관철동),126.9867325,37.56848357
소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층,02-753-8004,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,정,서울특별시 중구 남대문로7길 16 (소공동),126.9811629,37.5641652
고대안암역점,서울시 성북구 개운사길8 101-3 1층,02-953-6652,서울특별시 성북구 개운사길8 101-3 1층,정,서울특별시 성북구 개운사길 8 (안암동5가),127.0295374,37.586724
강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호,02-3424-5480,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,정,서울특별시 광진구 광나루로56길 85 (구의동),127.0956915,37.5357246
외대앞점,서울시 동대문구 이문로 106 1~3층,02-959-7750,서울특별시 동대문구 이문로 106 1~3층,정,서울특별시 동대문구 이문로 106 (이문동),127.0602169,37.59606667
건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,02-444-9861,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,정,서울특별시 광진구 자양동 227-342,127.0711366,37.53878826
신촌점,서울시 서대문구 창천 18-26호 B1,02-363-5572,서울특별시 서대문구 창천 18-26호 B1,정,서울특별시 서대문구 창천동 18-26,126.9373878,37.55631972
중계동은행사거리점,서울시 노원구 한글비석로 263 1층,02-931-3055,서울특별시 노원구 한글비석로 263 1층,정,서울특별시 노원구 한글비석로 263 (중계동),127.0764707,37.65120979
순화동라마다호텔점,서울시 중구 칠패로 27 151호,02-3789-3347,서울특별시 중구 칠패로 27 151호,정,서울특별시 중구 칠패로 27 (순화동),126.9720357,37.56026697
서울스퀘어점,서울시 중구 한강대로 416 지하1층,02-6456-8907,서울특별시 중구 한강대로 416 지하1층,정,서울특별시 중구 한강대로 416 (남대문로5가),126.9737511,37.5555038
하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층",02-733-5108,"서울특별시 종로구 사직로 130,1 현대적선빌딩1층",정,서울특별시 종로구 사직로 130 (적선동),126.9733221,37.57536757
목동점,서울시 양천구 목동동로 293 현대41타워1층,02-2654-5981,서울특별시 양천구 목동동로 293 현대41타워1층,정,서울특별시 양천구 목동동로 293 (목동),126.875772,37.52817803
여의도34번지점,서울 영등포구 국제금융로 52 심팩빌딩 1층,02-557-0510,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,정,서울특별시 영등포구 국제금융로 52 (여의도동),126.9295059,37.52272895
여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층,02-780-7758,서울특별시 영등포구 여의서로 43 한서리버파크2층,정,서울특별시 영등포구 여의서로 43 (여의도동),126.9248429,37.53072926
여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,02-783-6058,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,정,서울특별시 영등포구 의사당대로 97 (여의도동),126.9245864,37.5225167
부산광복동점,부산광역시 중구 창선동 2가 8-2,051-243-9105,부산광역시 중구 창선동 2가 8-2,정,부산광역시 중구 창선동2가 8-2,129.0289972,35.09946579
대전탄방동점,대전시 서구 문정로76 1층,042-471-9805,대전광역시 서구 문정로76 1층,정,대전광역시 서구 문정로 76 (탄방동),127.3876959,36.34641782
분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,031-705-3188,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,정,경기도 성남시 분당구 황새울로 326 (서현동),127.1218659,37.3851306
일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호,031-931-5573,경기도 고양시 일산동구 정발산로 24 I동103~203호,정,경기도 고양시 일산동구 정발산로 24 (장항동),126.7720385,37.65589715
분당차병원점,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",031-781-0471,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",정,경기도 성남시 분당구 야탑로65번길 16 (야탑동),127.1263609,37.41102162
동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,031-8003-8374,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,정,경기도 화성시 노작로 199 (반송동),127.0746793,37.20584132
분당서현점,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",031-705-8926,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",정,경기도 성남시 분당구 분당로53번길 11 (서현동),127.1215527,37.38406777
분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,031-713-9937,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,정,경기도 성남시 분당구 황새울로214번길 8 (수내동),127.1123122,37.378132
무교CBTL점,서울 중구 세종대로 136 파이낸스빌딩 지하2층,070-4140-7003,서울특별시 중구 세종대로 136 파이낸스빌딩 지하2층,정,서울특별시 중구 세종대로 136 (태평로1가),126.9782565,37.56842388
국기원사거리점,서울시 강남구 테헤란로 8길 42 1층,02-552-7106,서울특별시 강남구 테헤란로 8길 42 1층,정,서울특별시 강남구 테헤란로8길 42 (역삼동),127.0321753,37.49615847
무교점,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4",02-753-2374,"서울특별시 중구 태평로1 84호 SFC빌딩B1,1-4",정,서울특별시 중구 태평로1가 84,126.9777398,37.56842736
대학로마로니에점,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층",02-742-3318,"서울특별시 종로구 대학로 12길 62 지하1층,지상1,2층",정,서울특별시 종로구 대학로12길 62 (동숭동),127.0037047,37.58139942
청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",043-238-3151,"충청북도 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",정,충청북도 청주시 흥덕구 대농로 17 (복대동),127.4241946,36.64378387
인사점,서울시 종로구 낙원동 272 오라카이스위츠 1층,02-783-2043,서울특별시 종로구 낙원동 272 오라카이스위츠 1층,정,서울특별시 종로구 낙원동 272,126.9873342,37.57300706
남대문점,서울시 중구 후암로110 581호 서울시티타워1층,02-777-4217,서울특별시 중구 후암로110 581호 서울시티타워1층,정,서울특별시 중구 후암로 110 (남대문로5가),126.9740482,37.55430362
서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층",02-882-3101,"서울특별시 관악구 관악로 161 층일부 2,3층",정,서울특별시 관악구 관악로 161 (봉천동),126.9521846,37.4796082
테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층,02-558-7101,서울특별시 강남구 테헤란로 312 707-2번지1층,정,서울특별시 강남구 테헤란로 312 (역삼동),127.0450432,37.50293377
창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,055-211-0737,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,정,경상남도 창원시 성산구 중앙대로 104 (상남동),128.6808117,35.22349168
디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층,02-2210-9484,서울특별시 구로구 경인로 662 디큐브시티 4층,정,서울특별시 구로구 경인로 662 (신도림동),126.8892778,37.50882094
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층,02-783-3391,서울특별시 영등포구 국제금융로 20 1층,정,서울특별시 영등포구 국제금융로 20 (여의도동),126.9272967,37.52488691
선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층,02-552-3177,서울특별시 강남구 선릉로93길 6(역삼동) 1층,정,서울특별시 강남구 선릉로93길 6 (역삼동),127.0478998,37.50568577
삼성로점,"서울시 강남구 삼성로 551 1층,2층",02-552-9311,"서울특별시 강남구 삼성로 551 1층,2층",정,서울특별시 강남구 삼성로 551 (삼성동),127.0541499,37.51071026
선릉로86길점,서울시 강남구 선릉로86길 11,02-2051-8875,서울특별시 강남구 선릉로86길 11,정,서울특별시 강남구 선릉로86길 11 (대치동),127.0505871,37.50340477
강남역먹자골목점,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층,02-552-6311,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,정,서울특별시 강남구 테헤란로1길 29 (역삼동),127.0272881,37.5001068
뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층,02-545-3181,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,정,서울특별시 강남구 논현로167길 9 (신사동),127.0274268,37.52442055
뉴교보타워옆점,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",02-591-5177,"서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",정,서울특별시 서초구 강남대로 449-3 (서초동),127.0248829,37.50236046
안국역점,"서울시 종로구 율곡로 47 1,2층",02-722-3356,"서울특별시 종로구 율곡로 47 1,2층",정,서울특별시 종로구 율곡로 47 (안국동),126.9845863,37.57633576
코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,정,서울특별시 강남구 봉은사로 524 (삼성동),127.0571141,37.51294416
마리오아울렛점,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층,02-857-5501,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층,정,서울특별시 금천구 디지털로9길 23 (가산동),126.886477,37.47872013
서초뱅뱅사거리점,"서울시 서초구 강남대로 267 2,3층",02-523-8841,"서울특별시 서초구 강남대로 267 2,3층",정,서울특별시 서초구 강남대로 267 (서초동),127.0323372,37.48716985
현대자동차남양연구소점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,031-357-8103,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,대,경기도 화성시 남양읍 장덕리,126.809824,37.16074335
현대자동차성내점,"서울시 강동구 천호대로 1096 1,2F",02-485-3361,"서울특별시 강동구 천호대로 1096 1,2F",정,서울특별시 강동구 천호대로 1096 (성내동),127.133229,37.53519727
상암SBS미디어센터점,서울시 마포구 상암산로 82 SBS프리즘타워 1층,02-2039-9027,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,정,서울특별시 마포구 상암산로 82 (상암동),126.8927736,37.57971546
판교아브뉴프랑점,경기도 성남시 분당구 동판교로177번길 25,031-8016-8131,경기도 성남시 분당구 동판교로177번길 25,정,경기도 성남시 분당구 동판교로177번길 25 (삼평동),127.1135621,37.39732103
수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층,031-233-5631,경기도 수원시 팔달구 권광로 195 학산빌딩1층,정,경기도 수원시 팔달구 권광로 195 (인계동),127.0326851,37.26494738
남양연구소C1식당점,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,031-357-8172,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,대,경기도 화성시 남양읍 장덕리,126.809824,37.16074335
역삼역4번출구점,서울시 강남구 테헤란로143 고운빌딩1층,02-508-1137,서울특별시 강남구 테헤란로143 고운빌딩1층,정,서울특별시 강남구 테헤란로 143 (역삼동),127.0348989,37.50062104
IFC MALL2호점,서울시 영등포구 국제금융로10 IFC Mall L2,02-6137-5054,서울특별시 영등포구 국제금융로10 IFC Mall L2,정,서울특별시 영등포구 국제금융로 10 (여의도동),126.9261014,37.52595462
강남대로센터점,서울시 강남구 강남대로442 흥국화재빌딩 2층,02-565-3345,서울특별시 강남구 강남대로442 흥국화재빌딩 2층,정,서울특별시 강남구 강남대로 442 (역삼동),127.0262945,37.50222011
구로G-ValleyMall,서울시 구로구 디지털로300 지밸리비즈플라자 2층,02-6344-3966,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층,정,서울특별시 구로구 디지털로 300 (구로동),126.8965383,37.4849264
부평문화의거리점,"인천광역시 부평구 시장로29 1,2층",032-507-9901,"인천광역시 부평구 시장로29 1,2층",정,인천광역시 부평구 시장로 29 (부평동),126.7256152,37.49367327
일산원마운트점,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,031-961-6520,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,정,경기도 고양시 일산서구 한류월드로 300 (대화동),126.7545265,37.66455404
도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,02-551-6456,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층,정,서울특별시 강남구 테헤란로87길 22 (삼성동),127.0594433,37.50963227
압구정현대아파트점,서울시 강남구 압구정로29길65 지하1층,02-518-3350,서울특별시 강남구 압구정로29길65 지하1층,정,서울특별시 강남구 압구정로29길 65 (압구정동),127.0270032,37.53181086
내방역7번출구유중아트점,서울시 서초구 방배로178 유중아트센터1층,02-592-8861,서울특별시 서초구 방배로178 유중아트센터1층,정,서울특별시 서초구 방배로 178 (방배동),126.9928429,37.48954334
차병원사거리점,서울시 강남구 봉은사로207 KJ타워1층,02-542-8813,서울특별시 강남구 봉은사로207 KJ타워1층,정,서울특별시 강남구 봉은사로 207 (논현동),127.0346629,37.50784089
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층,02-785-8845,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,정,서울특별시 영등포구 의사당대로 97 (여의도동),126.9245864,37.5225167
남양연구소PT동점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,031-355-1346,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,대,경기도 화성시 남양읍 장덕리,126.809824,37.16074335
이태원제일기획옆점,서울시 용산구 이태원로220(한남동) 1층,02-792-3560,서울특별시 용산구 이태원로220(한남동) 1층,정,서울특별시 용산구 이태원로 220 (한남동),126.9984839,37.53481728
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,02-782-1125,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층,정,서울특별시 영등포구 국제금융로8길 6 (여의도동),126.9296979,37.5218087
현대프리미엄아울렛김포점,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호,031-8048-2618,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호,정,경기도 김포시 아라육로152번길 100 (고촌읍),126.7852332,37.59723551
타임스퀘어점,서울시 영등포구 영중로15 타임스퀘어 1층,02-2635-8830,서울특별시 영등포구 영중로15 타임스퀘어 1층,정,서울특별시 영등포구 영중로 15 (영등포동4가),126.9037162,37.51723312
광화문역1번출구점,서울시 종로구 새문안로5가길 7 1층 일부,02-723-3360,서울특별시 종로구 새문안로5가길 7 1층 일부,정,서울특별시 종로구 새문안로5가길 7 (내수동),126.9740384,37.57277128
신천역점,서울시 송파구 올림픽로100 효창타워1층,02-417-8851,서울특별시 송파구 올림픽로100 효창타워1층,정,서울특별시 송파구 올림픽로 100 (잠실동),127.0816883,37.51141581
강남역GT타워옆점,서울시 서초구 서초대로73길12 세계빌딩1층,02-592-0053,서울특별시 서초구 서초대로73길12 세계빌딩1층,정,서울특별시 서초구 서초대로73길 12 (서초동),127.0257323,37.49854482
광교아브뉴프랑점,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",031-216-9308,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",정,경기도 수원시 영통구 이의동 1332,127.0505154,37.29067257
이천하이닉스점,경기 이천시 부발읍 하이닉스반도체,031-8094-7013,경기도 이천시 부발읍 하이닉스반도체,대,경기도 이천시 부발읍,127.4968454,37.27006258
파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008,서울특별시 강남구 테헤란로521 파르나스몰 지하1층,정,서울특별시 강남구 테헤란로 521 (삼성동),127.0608075,37.50919118
석촌호수점,서울시 송파구 석촌호수로 222 제이타워 1층,02-415-1235,서울특별시 송파구 석촌호수로 222 제이타워 1층,정,서울특별시 송파구 석촌호수로 222 (석촌동),127.1015532,37.50706873
오목교역사거리점,"서울시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층",02-2653-8577,"서울특별시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층",정,서울특별시 양천구 오목로 350 (목동),126.8762662,37.52414801
을지로입구역점,"서울시 중구 남대문로10길 6 1,2층",02-752-3348,"서울특별시 중구 남대문로10길 6 1,2층",정,서울특별시 중구 남대문로10길 6 (수하동),126.9832502,37.56688201
인천공항탑승동105gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,032-743-7223,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,정,인천광역시 중구 공항로 272 (운서동),126.4537688,37.47676869
광장동대한제지점,서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,02-458-8166,서울특별시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,정,서울특별시 광진구 아차산로 563 (광장동),127.1029301,37.54413447
연대동문회관점,"서울시 서대문구 대신동 50-5 1층,2층(B동)",02-362-8301,"서울특별시 서대문구 대신동 50-5 1층,2층(B동)",정,서울특별시 서대문구 대신동 50-5,126.9432479,37.56309091
송도홈플러스점,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,032-822-5905,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,정,인천광역시 연수구 송도국제대로 165 (송도동),126.656372,37.38022559
올림픽공원북2문앞점,서울시 강동구 강동대로193 1층,02-471-2372,서울특별시 강동구 강동대로193 1층,정,서울특별시 강동구 강동대로 193 (성내동),127.1280151,37.52456388
인천공항탑승동130gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,032-743-7213,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,정,인천광역시 중구 공항로 272 (운서동),126.4537688,37.47676869
범계역로데오점,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층,031-476-9082,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층,정,경기도 안양시 동안구 평촌대로223번길 41 (호계동),126.9535116,37.3904891
강서그랜드아이파크점,서울시 강서구 화곡6동 1095번지 1층,02-2699-7462,서울특별시 강서구 화곡6동 1095번지 1층,정,서울특별시 강서구 화곡동 1095,126.8512505,37.55485443
신논현역점,서울특별시 강남구 봉은사로108 글라스톤빌딩1층,02-569-9061,서울특별시 강남구 봉은사로108 글라스톤빌딩1층,정,서울특별시 강남구 봉은사로 108 (역삼동),127.0255925,37.50453468
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,02-552-3363,서울특별시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,정,서울특별시 강남구 영동대로85길 9 (대치동),127.0628971,37.50708975
상암한국지역정보개발원점,서울시 마포구 성암로301 KLID한국지역정보개발원 1층,02-376-9162,서울특별시 마포구 성암로301 KLID한국지역정보개발원 1층,정,서울특별시 마포구 성암로 301 (상암동),126.8879377,37.58246932
산본역점,경기도 군포시 광정로58 1층 104호 및 2층,031-399-8812,경기도 군포시 광정로58 1층 104호 및 2층,정,경기도 군포시 광정로 58 (산본동),126.9309815,37.35850754
장안점,"서울시 동대문구 장안동 372-1, 1층 일부 및 2층 전체",02-2249-9826,"서울특별시 동대문구 장안동 372-1, 1층 일부 및 2층 전체",정,서울특별시 동대문구 장안동 372-1,127.0705004,37.57094639
분당정자점,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층,031-786-1906,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층,정,경기도 성남시 분당구 정자일로 227 (정자동),127.1056038,37.37070859
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,02-569-7501,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,정,서울특별시 강남구 삼성로86길 11 (대치동),127.0582935,37.50589545
잠원논현역점,서울시 서초구 신반포로47길 5 건물전체 1~3층,02-541-7404,서울특별시 서초구 신반포로47길 5 건물전체 1~3층,정,서울특별시 서초구 신반포로47길 5 (잠원동),127.0194447,37.51094823
홍대역8번출구점,서울시 마포구 양화로18안길 7 2층,02-338-9463,서울특별시 마포구 양화로18안길 7 2층,정,서울특별시 마포구 양화로18안길 7 (동교동),126.9250925,37.55683442
문래동점,서울시 영등포구 문래동6가 5번지 1층,02-2069-3157,서울특별시 영등포구 문래동6가 5번지 1층,정,서울특별시 영등포구 문래동6가 5,126.8890421,37.5196457
